店舗名,開店時間,外部リンク（基本食べログリンク）,最寄駅,店舗画像(各1つ、画像URLでOK)
カフェ マメヒコ 公園通り店,9:00,https://tabelog.com/tokyo/A1303/A130301/13155794/,渋谷,https://tblg.k-img.com/restaurant/images/Rvw/79193/79193729.jpg
リンツ ショコラ カフェ 渋谷店,9:00,https://tabelog.com/tokyo/A1303/A130301/13144489/,渋谷,https://tblg.k-img.com/restaurant/images/Rvw/16313/640x640_rect_16313928.jpg
ブラッスリー・ヴィロン 渋谷店,9:00,https://tabelog.com/tokyo/A1303/A130301/13004627/,渋谷,https://tblg.k-img.com/restaurant/images/Rvw/54001/54001924.jpg
BOUL'ANGE 渋谷店,7:00,https://tabelog.com/tokyo/A1303/A130301/13209052/,渋谷,https://tblg.k-img.com/restaurant/images/Rvw/110985/110985587.jpg
パブリックハウス（PUBLIC HOUSE）,7:00,https://tabelog.com/tokyo/A1303/A130301/13110570/,渋谷,https://tabelog.com/imgview/original?id=r25854117245205
koe' lobby （コエロビー）,7:30,https://tabelog.com/tokyo/A1303/A130301/13216965/,渋谷,https://tabelog.com/imgview/original?id=r9511882122269
旬彩（しゅんさい）,7:00,https://tabelog.com/tokyo/A1303/A130301/13004616/,渋谷,https://tabelog.com/imgview/original?id=r1184126090350
神戸屋キッチン 東急東横店 ,7:00,https://tabelog.com/tokyo/A1303/A130301/13001928/,渋谷,https://tabelog.com/imgview/original?id=r6288747363
本家しぶそば,7:00,https://tabelog.com/tokyo/A1303/A130301/13007288/,渋谷,https://tabelog.com/imgview/original?id=r79887111943650
人間関係 cafe de copain,9:00,https://tabelog.com/tokyo/A1303/A130301/13012683/,渋谷,https://tabelog.com/imgview/original?id=r0450110957060
IVY PLACE,8:00,https://tabelog.com/tokyo/A1303/A130303/13134309/,代官山,https://tabelog.com/imgview/original?id=r0725861664518
すき家 渋谷桜丘店,0:00,https://tabelog.com/tokyo/A1303/A130301/13057458/,渋谷,https://tabelog.com/imgview/original?id=r5893014008620
吉野家 渋谷109前店,5:00,https://tabelog.com/tokyo/A1303/A130301/13060363/,渋谷,https://tabelog.com/imgview/original?id=r6747157009476
Cafe Miyama 渋谷センター街店,8:00,https://tabelog.com/tokyo/A1303/A130301/13043007/,渋谷,https://tabelog.com/imgview/original?id=r36880117010493
ガスト 渋谷駅前店,7:30,https://tabelog.com/tokyo/A1303/A130301/13168245/,渋谷,https://tabelog.com/imgview/original?id=r93721117207151
大阪王将 渋谷駅前店,0:00,https://tabelog.com/tokyo/A1303/A130301/13176734/,渋谷,https://tabelog.com/imgview/original?id=r9026147750199
はなまるうどん 渋谷駅西口店 ,8:00,https://tabelog.com/tokyo/A1303/A130301/13123803/,渋谷,https://tabelog.com/imgview/original?id=r3613075346958
café 1886 at Bosch,8:30,https://tabelog.com/tokyo/A1303/A130301/13186195/,渋谷,https://tabelog.com/imgview/original?id=r0722244894341
ディーン&デルーカ カフェ 渋谷ストリーム店,7:00,https://tabelog.com/tokyo/A1303/A130301/13225912/,渋谷,https://tabelog.com/imgview/original?id=r1666492981023
モリバコーヒー 渋谷円山町,6:45,https://tabelog.com/tokyo/A1303/A130301/13116477/,渋谷,https://tabelog.com/imgview/original?id=r362387561053
スープストックトーキョー 渋谷マークシティ店 （Soup Stock Tokyo） ,8:00,https://tabelog.com/tokyo/A1303/A130301/13206975/,渋谷,https://tabelog.com/imgview/original?id=r8663769471750
ジャン・フランソワ 渋谷マークシティ （JEAN FRANCOIS） ,8:00,https://tabelog.com/tokyo/A1303/A130301/13099225/,渋谷,https://tabelog.com/imgview/original?id=r39449122002609
パン・オ・スリール ,8:00,https://tabelog.com/tokyo/A1306/A130602/13147336/,渋谷,https://tabelog.com/imgview/original?id=r3899086324422
5 クロスティーズ コーヒー 渋谷スクランブルスクエア店 （5 CROSSTIES COFFEE） ,8:00,https://tabelog.com/tokyo/A1303/A130301/13240367/,渋谷,https://tabelog.com/imgview/original?id=r20266127720301
クリスピー・クリーム・ドーナツ 渋谷シネタワー店 （Krispy Kreme Doughnuts）,8:00,https://tabelog.com/tokyo/A1303/A130301/13051056/,渋谷,https://tabelog.com/imgview/original?id=r4851728931707
兆楽 道玄坂店 ,7:00,https://tabelog.com/tokyo/A1303/A130301/13065803/,渋谷,https://tabelog.com/imgview/original?id=r7374824411730
"パンとエスプレッソと （BREAD,ESPRESSO &） ",8:00,https://tabelog.com/tokyo/A1306/A130602/13090477/,表参道,https://tabelog.com/imgview/original?id=r9756828178912
ワールド・ブレックファスト・オールデイ （WORLD BREAKFAST ALLDAY）,7:30,https://tabelog.com/tokyo/A1306/A130603/13158232/,外苑前,https://tabelog.com/imgview/original?id=r6668127648494
Tokyo Kenkyo ,8:00,https://tabelog.com/tokyo/A1303/A130301/13178629/,神泉,https://tabelog.com/imgview/original?id=r25160108563824
二合目 （にごうめ）,7:30,https://tabelog.com/tokyo/A1303/A130301/13030275/,神泉,https://tabelog.com/imgview/original?id=r2375912070734
ビストロ ロジウラ （Bistro Rojiura）,8:00,https://tabelog.com/tokyo/A1303/A130301/13134601/,渋谷,https://tabelog.com/imgview/original?id=r9544354150011
蕎麦 冷麦 嵯峨谷 渋谷店 ,0:00,https://tabelog.com/tokyo/A1303/A130301/13134451/,渋谷,https://tabelog.com/imgview/original?id=r09551107086022
バイ ミー スタンド （BUY ME STAND）,8:00,https://tabelog.com/tokyo/A1303/A130301/13189783/,渋谷,https://tabelog.com/imgview/original?id=r3863188141831
ボンダイカフェヨヨギビーチパーク （BONDI CAFE YOYOGI BEACH PARK）,9:00,https://tabelog.com/tokyo/A1318/A131810/13135851/,代々木公園,https://tabelog.com/imgview/original?id=r6042737856708
ダウンステアーズコーヒー （DOWNSTAIRS COFFEE）,7:00,https://tabelog.com/tokyo/A1307/A130701/13129689/,乃木坂,https://tabelog.com/imgview/original?id=r7062346830999
ル・パン・コティディアン 東京ミッドタウン店 （Le Pain Quotidien）,7:30,https://tabelog.com/tokyo/A1307/A130701/13209416/,六本木,https://tabelog.com/imgview/original?id=r1787274980840
メゾン・ランドゥメンヌ 麻布台 （MAISON LANDEMAINE）,7:00,https://tabelog.com/tokyo/A1307/A130701/13180316/,六本木一丁目,https://tabelog.com/imgview/original?id=r1343455783845
丸の内 CAFE 会 （カフェ）,7:00,https://tabelog.com/tokyo/A1302/A130201/13153668/,東京,https://tabelog.com/imgview/original?id=r4775287509053
オールシーズンズ コーヒー （4/4 SEASONS COFFEE）,8:00,https://tabelog.com/tokyo/A1304/A130401/13187981/,新宿御苑前,https://tabelog.com/imgview/original?id=r8996493312124
ラトリエ･デュ･パン （L'Atelier du pain）,7:30,https://tabelog.com/tokyo/A1307/A130701/13147689/,六本木,https://tabelog.com/imgview/original?id=r7487615621437
やえす初藤 （はつふじ） ,7:00,https://tabelog.com/tokyo/A1302/A130201/13021045/,東京,https://tabelog.com/imgview/original?id=r9085961827800
ベッカライ 徳多朗 元石川本店 （Backerei TOKTARO） ,9:00,https://tabelog.com/kanagawa/A1401/A140201/14042306/,たまプラーザ,https://tabelog.com/imgview/original?id=r568329736673
BOOK LAB TOKYO,7:00,https://tabelog.com/tokyo/A1303/A130301/13197256/,渋谷,https://tabelog.com/imgview/original?id=r6312154844819
